,STATION,ELEMENT,YEAR,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,Unnamed: 8
924,0-203-0-11514,TMA,1803,21:00,MIN,-9.0,,,
928,0-203-0-11514,TMA,1804,21:00,AVG,12.8,,,
932,0-203-0-11514,TMA,1804,21:00,GE(25),46.0,,,
936,0-203-0-11514,TMA,1804,21:00,GE(30),7.0,,,
940,0-203-0-11514,TMA,1804,21:00,GE(34),0.0,,,
944,0-203-0-11514,TMA,1804,21:00,GE(35),0.0,,,
948,0-203-0-11514,TMA,1804,21:00,L(0),40.0,,,
952,0-203-0-11514,TMA,1804,21:00,MAX,31.5,,,
956,0-203-0-11514,TMA,1804,21:00,MIN,-15.4,,,
960,0-203-0-11514,TMA,1805,21:00,AVG,11.2,,,
964,0-203-0-11514,TMA,1805,21:00,GE(25),18.0,,,
968,0-203-0-11514,TMA,1805,21:00,GE(30),0.0,,,
972,0-203-0-11514,TMA,1805,21:00,GE(34),0.0,,,
976,0-203-0-11514,TMA,1805,21:00,GE(35),0.0,,,
980,0-203-0-11514,TMA,1805,21:00,L(0),36.0,,,
984,0-203-0-11514,TMA,1805,21:00,MAX,29.1,,,
988,0-203-0-11514,TMA,1805,21:00,MIN,-15.8,,,
992,0-203-0-11514,TMA,1806,21:00,AVG,14.2,,,
996,0-203-0-11514,TMA,1806,21:00,GE(25),38.0,,,
1000,0-203-0-11514,TMA,1806,21:00,GE(30),0.0,,,
1004,0-203-0-11514,TMA,1806,21:00,GE(34),0.0,,,
1008,0-203-0-11514,TMA,1806,21:00,GE(35),0.0,,,
1012,0-203-0-11514,TMA,1806,21:00,L(0),1.0,,,
1016,0-203-0-11514,TMA,1806,21:00,MAX,29.0,,,
1020,0-203-0-11514,TMA,1806,21:00,MIN,-0.1,,,
1024,0-203-0-11514,TMA,1807,21:00,AVG,14.1,,,
1028,0-203-0-11514,TMA,1807,21:00,GE(25),62.0,,,
1032,0-203-0-11514,TMA,1807,21:00,GE(30),21.0,,,
1036,0-203-0-11514,TMA,1807,21:00,GE(34),1.0,,,
1040,0-203-0-11514,TMA,1807,21:00,GE(35),0.0,,,
1044,0-203-0-11514,TMA,1807,21:00,L(0),7.0,,,
1048,0-203-0-11514,TMA,1807,21:00,MAX,34.2,,,
1052,0-203-0-11514,TMA,1807,21:00,MIN,-1.8,*,,
1056,0-203-0-11514,TMA,1808,21:00,AVG,12.5,,,
1060,0-203-0-11514,TMA,1808,21:00,GE(25),50.0,,,
1064,0-203-0-11514,TMA,1808,21:00,GE(30),10.0,,,
1068,0-203-0-11514,TMA,1808,21:00,GE(34),2.0,,,
1072,0-203-0-11514,TMA,1808,21:00,GE(35),0.0,,,
1076,0-203-0-11514,TMA,1808,21:00,L(0),36.0,,,
1080,0-203-0-11514,TMA,1808,21:00,MAX,34.1,,,
1084,0-203-0-11514,TMA,1808,21:00,MIN,-14.5,,,
1088,0-203-0-11514,TMA,1809,21:00,AVG,13.1,,,
1092,0-203-0-11514,TMA,1809,21:00,GE(25),52.0,,,
1096,0-203-0-11514,TMA,1809,21:00,GE(30),7.0,,,
1100,0-203-0-11514,TMA,1809,21:00,GE(34),0.0,,,
1104,0-203-0-11514,TMA,1809,21:00,GE(35),0.0,,,
1108,0-203-0-11514,TMA,1809,21:00,L(0),17.0,,,
1112,0-203-0-11514,TMA,1809,21:00,MAX,31.2,,,
1116,0-203-0-11514,TMA,1809,21:00,MIN,-11.0,,,
1120,0-203-0-11514,TMA,1810,21:00,AVG,13.1,,,
1124,0-203-0-11514,TMA,1810,21:00,GE(25),44.0,,,
1128,0-203-0-11514,TMA,1810,21:00,GE(30),2.0,,,
1132,0-203-0-11514,TMA,1810,21:00,GE(34),0.0,,,
1136,0-203-0-11514,TMA,1810,21:00,GE(35),0.0,,,
1140,0-203-0-11514,TMA,1810,21:00,L(0),36.0,,,
1144,0-203-0-11514,TMA,1810,21:00,MAX,30.1,*,,
1148,0-203-0-11514,TMA,1810,21:00,MIN,-9.0,,,
1152,0-203-0-11514,TMA,1811,21:00,AVG,14.5,,,
1156,0-203-0-11514,TMA,1811,21:00,GE(25),75.0,,,
1160,0-203-0-11514,TMA,1811,21:00,GE(30),18.0,,,
1164,0-203-0-11514,TMA,1811,21:00,GE(34),0.0,,,
1168,0-203-0-11514,TMA,1811,21:00,GE(35),0.0,,,
1172,0-203-0-11514,TMA,1811,21:00,L(0),33.0,,,
1176,0-203-0-11514,TMA,1811,21:00,MAX,33.3,,,
1180,0-203-0-11514,TMA,1811,21:00,MIN,-11.3,,,
1184,0-203-0-11514,TMA,1812,21:00,AVG,11.7,,,
1188,0-203-0-11514,TMA,1812,21:00,GE(25),23.0,,,
1192,0-203-0-11514,TMA,1812,21:00,GE(30),0.0,,,
1196,0-203-0-11514,TMA,1812,21:00,GE(34),0.0,,,
1200,0-203-0-11514,TMA,1812,21:00,GE(35),0.0,,,
1204,0-203-0-11514,TMA,1812,21:00,L(0),57.0,,,
1208,0-203-0-11514,TMA,1812,21:00,MAX,29.8,,,
1212,0-203-0-11514,TMA,1812,21:00,MIN,-12.0,,,
1216,0-203-0-11514,TMA,1813,21:00,AVG,12.5,,,
1220,0-203-0-11514,TMA,1813,21:00,GE(25),20.0,,,
1224,0-203-0-11514,TMA,1813,21:00,GE(30),0.0,,,
1228,0-203-0-11514,TMA,1813,21:00,GE(34),0.0,,,
1232,0-203-0-11514,TMA,1813,21:00,GE(35),0.0,,,
1236,0-203-0-11514,TMA,1813,21:00,L(0),35.0,,,
1240,0-203-0-11514,TMA,1813,21:00,MAX,27.8,*,,
1244,0-203-0-11514,TMA,1813,21:00,MIN,-8.0,,,
1248,0-203-0-11514,TMA,1814,21:00,AVG,11.5,,,
1252,0-203-0-11514,TMA,1814,21:00,GE(25),21.0,,,
1256,0-203-0-11514,TMA,1814,21:00,GE(30),0.0,,,
1260,0-203-0-11514,TMA,1814,21:00,GE(34),0.0,,,
1264,0-203-0-11514,TMA,1814,21:00,GE(35),0.0,,,
1268,0-203-0-11514,TMA,1814,21:00,L(0),42.0,,,
1272,0-203-0-11514,TMA,1814,21:00,MAX,29.5,,,
1276,0-203-0-11514,TMA,1814,21:00,MIN,-11.6,,,
1280,0-203-0-11514,TMA,1815,21:00,AVG,12.5,,,
1284,0-203-0-11514,TMA,1815,21:00,GE(25),9.0,,,
1288,0-203-0-11514,TMA,1815,21:00,GE(30),0.0,,,
1292,0-203-0-11514,TMA,1815,21:00,GE(34),0.0,,,
1296,0-203-0-11514,TMA,1815,21:00,GE(35),0.0,,,
1300,0-203-0-11514,TMA,1815,21:00,L(0),32.0,,,
1304,0-203-0-11514,TMA,1815,21:00,MAX,29.4,,,
1308,0-203-0-11514,TMA,1815,21:00,MIN,-10.4,,,
1312,0-203-0-11514,TMA,1816,21:00,AVG,11.8,,,
1316,0-203-0-11514,TMA,1816,21:00,GE(25),12.0,,,
1320,0-203-0-11514,TMA,1816,21:00,GE(30),0.0,,,
1324,0-203-0-11514,TMA,1816,21:00,GE(34),0.0,,,
1328,0-203-0-11514,TMA,1816,21:00,GE(35),0.0,,,
1332,0-203-0-11514,TMA,1816,21:00,L(0),24.0,,,
1336,0-203-0-11514,TMA,1816,21:00,MAX,27.2,,,
1340,0-203-0-11514,TMA,1816,21:00,MIN,-7.4,,,
1344,0-203-0-11514,TMA,1817,21:00,AVG,12.8,,,
1348,0-203-0-11514,TMA,1817,21:00,GE(25),31.0,,,
1352,0-203-0-11514,TMA,1817,21:00,GE(30),0.0,,,
1356,0-203-0-11514,TMA,1817,21:00,GE(34),0.0,,,
1360,0-203-0-11514,TMA,1817,21:00,GE(35),0.0,,,
1364,0-203-0-11514,TMA,1817,21:00,L(0),9.0,,,
1368,0-203-0-11514,TMA,1817,21:00,MAX,28.7,,,
1372,0-203-0-11514,TMA,1817,21:00,MIN,-2.2,,,
1376,0-203-0-11514,TMA,1818,21:00,AVG,13.0,,,
1380,0-203-0-11514,TMA,1818,21:00,GE(25),25.0,,,
1384,0-203-0-11514,TMA,1818,21:00,GE(30),0.0,,,
1388,0-203-0-11514,TMA,1818,21:00,GE(34),0.0,,,
1392,0-203-0-11514,TMA,1818,21:00,GE(35),0.0,,,
1396,0-203-0-11514,TMA,1818,21:00,L(0),19.0,,,
1400,0-203-0-11514,TMA,1818,21:00,MAX,29.9,,,
1404,0-203-0-11514,TMA,1818,21:00,MIN,-5.8,,,
1408,0-203-0-11514,TMA,1819,21:00,AVG,13.2,,,
1412,0-203-0-11514,TMA,1819,21:00,GE(25),34.0,,,
1416,0-203-0-11514,TMA,1819,21:00,GE(30),3.0,,,
1420,0-203-0-11514,TMA,1819,21:00,GE(34),0.0,,,
1424,0-203-0-11514,TMA,1819,21:00,GE(35),0.0,,,
1428,0-203-0-11514,TMA,1819,21:00,L(0),17.0,,,
1432,0-203-0-11514,TMA,1819,21:00,MAX,33.5,,,
1436,0-203-0-11514,TMA,1819,21:00,MIN,-2.7,,,
1440,0-203-0-11514,TMA,1820,21:00,AVG,12.1,,,
1444,0-203-0-11514,TMA,1820,21:00,GE(25),32.0,,,
1448,0-203-0-11514,TMA,1820,21:00,GE(30),2.0,,,
1452,0-203-0-11514,TMA,1820,21:00,GE(34),0.0,,,
1456,0-203-0-11514,TMA,1820,21:00,GE(35),0.0,,,
1460,0-203-0-11514,TMA,1820,21:00,L(0),37.0,,,
1464,0-203-0-11514,TMA,1820,21:00,MAX,30.4,,,
1468,0-203-0-11514,TMA,1820,21:00,MIN,-13.8,,,
1472,0-203-0-11514,TMA,1821,21:00,AVG,12.8,,,
1476,0-203-0-11514,TMA,1821,21:00,GE(25),6.0,,,
1480,0-203-0-11514,TMA,1821,21:00,GE(30),0.0,,,
1484,0-203-0-11514,TMA,1821,21:00,GE(34),0.0,,,
1488,0-203-0-11514,TMA,1821,21:00,GE(35),0.0,,,
1492,0-203-0-11514,TMA,1821,21:00,L(0),19.0,,,
1496,0-203-0-11514,TMA,1821,21:00,MAX,26.4,,,
1500,0-203-0-11514,TMA,1821,21:00,MIN,-6.4,,,
1504,0-203-0-11514,TMA,1822,21:00,AVG,14.2,,,
1508,0-203-0-11514,TMA,1822,21:00,GE(25),36.0,,,
1512,0-203-0-11514,TMA,1822,21:00,GE(30),1.0,,,
1516,0-203-0-11514,TMA,1822,21:00,GE(34),0.0,,,
1520,0-203-0-11514,TMA,1822,21:00,GE(35),0.0,,,
1524,0-203-0-11514,TMA,1822,21:00,L(0),18.0,,,
1528,0-203-0-11514,TMA,1822,21:00,MAX,30.6,,,
1532,0-203-0-11514,TMA,1822,21:00,MIN,-10.3,,,
1536,0-203-0-11514,TMA,1823,21:00,AVG,12.6,,,
1540,0-203-0-11514,TMA,1823,21:00,GE(25),31.0,,,
