,STATION,ELEMENT,YEAR,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,Unnamed: 8
908,0-203-0-11514,TMI,1812,21:00,MIN,-18.4,,,
912,0-203-0-11514,TMI,1813,21:00,AVG,6.3,,,
916,0-203-0-11514,TMI,1813,21:00,GE(20),0.0,,,
920,0-203-0-11514,TMI,1813,21:00,L(0),74.0,,,
924,0-203-0-11514,TMI,1813,21:00,L(-12),2.0,,,
928,0-203-0-11514,TMI,1813,21:00,MAX,18.2,,,
932,0-203-0-11514,TMI,1813,21:00,MIN,-13.5,,,
936,0-203-0-11514,TMI,1814,21:00,AVG,5.1,,,
940,0-203-0-11514,TMI,1814,21:00,GE(20),0.0,,,
944,0-203-0-11514,TMI,1814,21:00,L(0),85.0,,,
948,0-203-0-11514,TMI,1814,21:00,L(-12),16.0,,,
952,0-203-0-11514,TMI,1814,21:00,MAX,19.8,,,
956,0-203-0-11514,TMI,1814,21:00,MIN,-18.1,,,
960,0-203-0-11514,TMI,1815,21:00,AVG,6.2,,,
964,0-203-0-11514,TMI,1815,21:00,GE(20),0.0,,,
968,0-203-0-11514,TMI,1815,21:00,L(0),75.0,,,
972,0-203-0-11514,TMI,1815,21:00,L(-12),5.0,,,
976,0-203-0-11514,TMI,1815,21:00,MAX,18.7,,,
980,0-203-0-11514,TMI,1815,21:00,MIN,-14.4,,,
984,0-203-0-11514,TMI,1816,21:00,AVG,5.9,,,
988,0-203-0-11514,TMI,1816,21:00,GE(20),0.0,,,
992,0-203-0-11514,TMI,1816,21:00,L(0),73.0,,,
996,0-203-0-11514,TMI,1816,21:00,L(-12),2.0,,,
1000,0-203-0-11514,TMI,1816,21:00,MAX,18.0,,,
1004,0-203-0-11514,TMI,1816,21:00,MIN,-14.0,,,
1008,0-203-0-11514,TMI,1817,21:00,AVG,6.8,,,
1012,0-203-0-11514,TMI,1817,21:00,GE(20),0.0,,,
1016,0-203-0-11514,TMI,1817,21:00,L(0),36.0,,,
1020,0-203-0-11514,TMI,1817,21:00,L(-12),0.0,,,
1024,0-203-0-11514,TMI,1817,21:00,MAX,18.9,,,
1028,0-203-0-11514,TMI,1817,21:00,MIN,-8.1,*,,
1032,0-203-0-11514,TMI,1818,21:00,AVG,7.0,,,
1036,0-203-0-11514,TMI,1818,21:00,GE(20),2.0,,,
1040,0-203-0-11514,TMI,1818,21:00,L(0),64.0,,,
1044,0-203-0-11514,TMI,1818,21:00,L(-12),0.0,,,
1048,0-203-0-11514,TMI,1818,21:00,MAX,20.2,,,
1052,0-203-0-11514,TMI,1818,21:00,MIN,-10.9,,,
1056,0-203-0-11514,TMI,1819,21:00,AVG,7.3,,,
1060,0-203-0-11514,TMI,1819,21:00,GE(20),3.0,,,
1064,0-203-0-11514,TMI,1819,21:00,L(0),54.0,,,
1068,0-203-0-11514,TMI,1819,21:00,L(-12),0.0,,,
1072,0-203-0-11514,TMI,1819,21:00,MAX,21.2,,,
1076,0-203-0-11514,TMI,1819,21:00,MIN,-9.7,,,
1080,0-203-0-11514,TMI,1820,21:00,AVG,6.0,,,
1084,0-203-0-11514,TMI,1820,21:00,GE(20),2.0,,,
1088,0-203-0-11514,TMI,1820,21:00,L(0),86.0,,,
1092,0-203-0-11514,TMI,1820,21:00,L(-12),13.0,,,
1096,0-203-0-11514,TMI,1820,21:00,MAX,21.2,,,
1100,0-203-0-11514,TMI,1820,21:00,MIN,-24.0,,,
1104,0-203-0-11514,TMI,1821,21:00,AVG,6.8,,,
1108,0-203-0-11514,TMI,1821,21:00,GE(20),0.0,,,
1112,0-203-0-11514,TMI,1821,21:00,L(0),65.0,,,
1116,0-203-0-11514,TMI,1821,21:00,L(-12),1.0,,,
1120,0-203-0-11514,TMI,1821,21:00,MAX,18.4,,,
1124,0-203-0-11514,TMI,1821,21:00,MIN,-13.0,,,
1128,0-203-0-11514,TMI,1822,21:00,AVG,7.4,,,
1132,0-203-0-11514,TMI,1822,21:00,GE(20),0.0,,,
1136,0-203-0-11514,TMI,1822,21:00,L(0),50.0,,,
1140,0-203-0-11514,TMI,1822,21:00,L(-12),4.0,,,
1144,0-203-0-11514,TMI,1822,21:00,MAX,19.2,*,,
1148,0-203-0-11514,TMI,1822,21:00,MIN,-15.8,,,
1152,0-203-0-11514,TMI,1823,21:00,AVG,6.6,,,
1156,0-203-0-11514,TMI,1823,21:00,GE(20),0.0,,,
1160,0-203-0-11514,TMI,1823,21:00,L(0),64.0,,,
1164,0-203-0-11514,TMI,1823,21:00,L(-12),17.0,,,
1168,0-203-0-11514,TMI,1823,21:00,MAX,19.0,*,,
1172,0-203-0-11514,TMI,1823,21:00,MIN,-23.1,,,
1176,0-203-0-11514,TMI,1824,21:00,AVG,7.4,,,
1180,0-203-0-11514,TMI,1824,21:00,GE(20),0.0,,,
1184,0-203-0-11514,TMI,1824,21:00,L(0),38.0,,,
1188,0-203-0-11514,TMI,1824,21:00,L(-12),0.0,,,
1192,0-203-0-11514,TMI,1824,21:00,MAX,18.1,*,,
1196,0-203-0-11514,TMI,1824,21:00,MIN,-8.2,,,
1200,0-203-0-11514,TMI,1825,21:00,AVG,7.1,,,
1204,0-203-0-11514,TMI,1825,21:00,GE(20),0.0,,,
1208,0-203-0-11514,TMI,1825,21:00,L(0),52.0,,,
1212,0-203-0-11514,TMI,1825,21:00,L(-12),0.0,,,
1216,0-203-0-11514,TMI,1825,21:00,MAX,19.1,,,
1220,0-203-0-11514,TMI,1825,21:00,MIN,-9.0,,,
1224,0-203-0-11514,TMI,1826,21:00,AVG,6.7,,,
1228,0-203-0-11514,TMI,1826,21:00,GE(20),4.0,,,
1232,0-203-0-11514,TMI,1826,21:00,L(0),68.0,,,
1236,0-203-0-11514,TMI,1826,21:00,L(-12),12.0,,,
1240,0-203-0-11514,TMI,1826,21:00,MAX,20.9,,,
1244,0-203-0-11514,TMI,1826,21:00,MIN,-17.8,,,
1248,0-203-0-11514,TMI,1827,21:00,AVG,6.0,,,
1252,0-203-0-11514,TMI,1827,21:00,GE(20),4.0,,,
1256,0-203-0-11514,TMI,1827,21:00,L(0),79.0,,,
1260,0-203-0-11514,TMI,1827,21:00,L(-12),14.0,,,
1264,0-203-0-11514,TMI,1827,21:00,MAX,20.5,,,
1268,0-203-0-11514,TMI,1827,21:00,MIN,-22.1,,,
1272,0-203-0-11514,TMI,1828,21:00,AVG,6.6,,,
1276,0-203-0-11514,TMI,1828,21:00,GE(20),3.0,,,
1280,0-203-0-11514,TMI,1828,21:00,L(0),57.0,,,
1284,0-203-0-11514,TMI,1828,21:00,L(-12),7.0,,,
1288,0-203-0-11514,TMI,1828,21:00,MAX,21.0,,,
1292,0-203-0-11514,TMI,1828,21:00,MIN,-15.7,*,,
1296,0-203-0-11514,TMI,1829,21:00,AVG,3.8,,,
1300,0-203-0-11514,TMI,1829,21:00,GE(20),1.0,,,
1304,0-203-0-11514,TMI,1829,21:00,L(0),132.0,,,
1308,0-203-0-11514,TMI,1829,21:00,L(-12),20.0,,,
1312,0-203-0-11514,TMI,1829,21:00,MAX,20.7,,,
1316,0-203-0-11514,TMI,1829,21:00,MIN,-24.3,,,
1320,0-203-0-11514,TMI,1830,21:00,AVG,5.8,,,
1324,0-203-0-11514,TMI,1830,21:00,GE(20),4.0,,,
1328,0-203-0-11514,TMI,1830,21:00,L(0),79.0,,,
1332,0-203-0-11514,TMI,1830,21:00,L(-12),17.0,,,
1336,0-203-0-11514,TMI,1830,21:00,MAX,22.2,*,,
1340,0-203-0-11514,TMI,1830,21:00,MIN,-27.5,,,
1344,0-203-0-11514,TMI,1831,21:00,AVG,6.4,,,
